fishname,fs,fishdate,time_flow,time_react,tdiff,info,info_other,direction,stable10prev,change10,stable10after,fishtype,loc_name,loc_x,loc_y,Unnamed: 3,flocs,fdist,stable10prev_v,stable10next_v,change10_v,change5,change5_v,change1,asfractprev5,asfractprev10
fish56,low,13Mar,14:22:15,14:23:47,00:01:32,dir_change,,-1,-3.75,10.4,,farmed_loch,fish56,2.522046609522519,0.1014446120356054,,w,0.12558189554479546,0.3535533905932738,1.2292725943057183,0.9660917830792959,10.8,0.4472135954999579,10.8,-2.8800000000000003,-2.7733333333333334
fish57,low,13Mar,14:50:40,14:51:15,00:00:35,dir_change,,1,-9.7,5.7,,farmed_loch,fish57,2.181428934840713,0.2286768733006335,,y,0.17387502033600952,1.0593499054713802,1.3006408676751113,2.3118054512532935,5.8,2.6832815729997477,5.8,-0.5979381443298969,-0.5876288659793815
fish61,low,13Mar,16:41:06,16:44:40,00:03:34,dir_change,,1,5.15,,,farmed_loch,fish61,1.9543483747188735,0.9720777652143396,,r,0.20239440180834872,1.4151953143569187,0.23570226039551584,,,,,,
fish62,low,13Mar,17:08:55,17:11:43,00:02:48,dir_change,,-1,6.8,,,farmed_loch,fish62,2.506363702105071,0.9229854326685388,,t,0.09477087776132892,0.6324555320336759,0.48304589153964794,,,,,,
fish63,low,13Mar,17:36:25,17:36:55,00:00:30,dir_change,,1,15.7,0.5,,farmed_loch,fish63,0.1861501519243095,0.106918372770668,,b,0.06721490275633381,5.538752366533259,0.724568837309472,0.97182531580755,0.2,0.44721359549995804,0.2,0.012738853503184714,0.03184713375796178
fish65,low,13Mar,18:37:44,18:39:14,00:01:30,dir_change,,1,4.3,-8.5,,farmed_loch,fish65,0.4974032791448044,0.9455893023418268,,f,0.12895095559134626,0.9486832980505138,0.8432740427115678,1.1785113019775793,-7.6,0.5477225575051662,-7.6,-1.7674418604651163,-1.9767441860465118
fish76,low,25/03/2021,14:57:32,14:58:23,00:00:51,dir_change,stable,-1,11.75,-4.75,,farmed_loch,fish76,2.44883544981635,0.0925246358754551,,u,0.1300604368243916,1.5138251770487459,0.9486832980505138,1.0865337342004415,-4.6,0.8944271909999159,-4.6,-0.3914893617021276,-0.40425531914893614
fish78,low,25/03/2021,16:11:30,16:14:13,00:02:43,dir_change,stable,-1,6.8,7.0,,farmed_loch,fish78,2.5998635461790047,0.9317942144072598,,t,0.029983391897888696,0.6324555320336759,0.48304589153964794,0.0,,,,,1.0294117647058825
fish80,low,25/03/2021,17:10:25,17:11:04,00:00:39,dir_change,stable,-1,15.7,-4.9,,farmed_loch,fish80,0.0272709445407785,0.1202141588165904,,b,0.18817008733365254,5.538752366533259,0.724568837309472,2.024845673131659,-5.6,0.8944271909999157,-5.6,-0.35668789808917195,-0.3121019108280255
fish81,low,25/03/2021,17:43:11,17:43:51,00:00:40,dir_change,stable,1,15.7,-5.6,,farmed_loch,fish81,0.215035019299288,0.0515241166804172,,b,0.02031514336829081,5.538752366533259,0.724568837309472,1.1737877907772671,-5.6,0.8944271909999157,-5.6,-0.35668789808917195,-0.35668789808917195
fish84,high,27/03/2021,10:35:41,10:36:16,00:00:35,dir_change,dir change,1,-14.6,-3.35,,farmed_loch,fish84,0.2020634174692645,0.8607794973732585,,h27,0.13095518407716608,0.45946829173634074,3.0226000580809744,2.4949949899749297,-3.4,3.361547262794322,-3.4,0.2328767123287671,0.22945205479452055
fish85,high,27/03/2021,11:03:58,11:10:12,00:06:14,swim_off,swims off,-1,17.5,,,farmed_loch,fish85,2.516081821715676,0.0073994246705231,,h3,0.2943958022038871,0.9428090415820634,1.1972189997378646,,,,,,
fish86,high,27/03/2021,11:32:15,11:32:35,00:00:20,dir_change,dir change,1,-10.95,-2.4,,farmed_loch,fish86,1.8842851221776047,0.3930077434723575,,h2,0.24062179940890457,0.6851601597031489,1.7511900715418263,5.414999743510818,-0.7,1.7888543819998317,-0.7,0.0639269406392694,0.21917808219178084
fish87,high,27/03/2021,11:59:02,11:59:40,00:00:38,dir_change,dir change,-1,17.5,-5.85,,farmed_loch,fish87,2.5233013555353376,0.0425688593826706,,h3,0.2961211155574891,0.9428090415820634,1.1972189997378646,2.4949949899749297,-7.2,2.6832815729997477,-7.2,-0.4114285714285714,-0.33428571428571424
fish88,high,27/03/2021,12:33:10,12:33:28,00:00:18,dir_change,dir change,1,-18.05,-9.35,,farmed_loch,fish88,2.779832462096836,0.1813849077016711,,h10,0.30731509371277715,0.7619419633774974,2.359378449224852,7.9023554856904665,-6.7,6.74166151627327,-6.7,0.37119113573407203,0.5180055401662049
fish90,high,27/03/2021,13:28:21,13:28:43,00:00:22,dir_change,dir change,1,-14.45,0.3,,farmed_loch,fish90,0.7819212503286572,0.0789389087127569,,h19,0.41639132815851604,1.6064107680028656,1.523883926754995,2.917380864938809,1.1,2.1330729007701543,1.1,-0.07612456747404846,-0.020761245674740483
fish91,high,27/03/2021,13:58:18,13:58:57,00:00:39,dir_change,beta,-1,20.2,-8.05,,farmed_loch,fish91,1.7623434054987563,0.0995407259089068,,h9,0.09278010703688638,2.8693785622209793,2.0789954839350235,1.8020050561034013,-9.1,1.2449899597988732,-9.1,-0.4504950495049505,-0.3985148514851486
fish92,high,27/03/2021,14:32:35,14:33:05,00:00:30,swim_off,swim off,1,-14.6,-2.95,,farmed_loch,fish92,0.1629212626756252,0.945397051577909,,h27,0.048252475717294734,0.45946829173634074,3.0226000580809744,2.4318488622628025,-3.4,2.1908902300206643,-3.4,0.2328767123287671,0.20205479452054798
fish93,high,27/03/2021,15:03:53,15:05:25,00:01:32,dir_change,dir change,-1,20.2,-12.0,,farmed_loch,fish93,1.3438871645275243,0.0626612254839347,,h9,0.5021513736610547,2.8693785622209793,2.0789954839350235,1.1785113019775793,-11.3,0.4472135954999579,-11.3,-0.5594059405940595,-0.594059405940594
fish94,high,27/03/2021,15:43:15,15:44:14,00:00:59,swim_off,swim off,1,-10.95,17.3,,farmed_loch,fish94,1.481479800675351,0.0693589969679533,,h2,0.42562492637877364,0.6851601597031489,1.7511900715418263,2.0027758514399734,16.4,2.302172886644268,16.4,-1.4977168949771689,-1.579908675799087
fish95,high,27/03/2021,16:10:40,16:11:35,00:00:55,dir_change,beta,-1,17.5,-8.9,,farmed_loch,fish95,2.618083639535183,0.1041082280913497,,h3,0.3910699319572189,0.9428090415820634,1.1972189997378646,1.1972189997378648,-9.2,1.0954451150103324,-9.2,-0.5257142857142857,-0.5085714285714286
farmed98,high,28/03/2021,13:18:24,13:19:36,00:01:12,swim_off,swim off,-1,7.6,-15.3,,farmed_loch,farmed98,0.8027904926251632,0.9180858274978556,,h26,0.3279079927387226,1.4869805348796974,0.97182531580755,0.9486832980505138,-15.8,1.0954451150103324,-15.8,-2.0789473684210527,-2.0131578947368425
farmed99,high,28/03/2021,13:46:10,13:47:15,00:01:05,dir_change,dir change,1,-15.15,24.0,,farmed_loch,farmed99,0.2204479662099567,0.0877198333289416,,h21,0.056300211539534066,0.8181958472422385,1.2516655570345725,2.041241452319315,23.6,2.302172886644268,23.6,-1.5577557755775577,-1.584158415841584
farmed100,high,28/03/2021,14:14:26,14:16:21,00:01:55,dir_change,dir change,-1,15.85,-15.05,,farmed_loch,farmed100,1.6261773811536184,0.923538503680898,,h7,0.4766401967136646,1.5643600040343086,1.6499158227686108,1.3834337312964757,-14.7,1.7888543819998317,-14.7,-0.9274447949526814,-0.9495268138801263
farmed101,high,28/03/2021,14:41:30,14:44:04,00:02:34,swim_off,swim off,1,-15.15,24.15,,farmed_loch,farmed101,0.2588606169781581,0.0639059377854478,,h21,0.08949425060615822,0.8181958472422385,1.2516655570345725,2.3576117859675993,22.8,1.0954451150103324,22.8,-1.504950495049505,-1.594059405940594
farmed102,high,28/03/2021,15:09:09,15:10:33,00:01:24,swim_off,swim off,-1,17.5,-6.9,,farmed_loch,farmed102,2.574400081735676,0.1292701963769334,,h3,0.35091437835315586,0.9428090415820634,1.1972189997378646,1.349897115421106,-6.5,1.6583123951777,-6.5,-0.37142857142857144,-0.3942857142857143
farmed103,high,28/03/2021,15:35:29,15:36:25,00:00:56,dir_change,dir change,1,-14.45,24.5,,farmed_loch,farmed103,1.123791697460419,0.0285655310058813,,h19,0.6800156687469817,1.6064107680028656,1.523883926754995,2.223610677354389,24.0,2.1213203435596424,24.0,-1.6608996539792389,-1.6955017301038062
farmed108,high,28/03/2021,17:52:52,17:54:25,00:01:33,dir_change,dir change,-1,17.5,-6.6,,farmed_loch,farmed108,2.4941557674277894,0.065748768426044,,h3,0.2657147666608199,0.9428090415820634,1.1972189997378646,1.66332999331662,-6.1,2.1908902300206643,-6.1,-0.34857142857142853,-0.3771428571428571
farmed110,high,28/03/2021,18:48:29,18:50:19,00:01:50,dir_change,"dir change and swim off, slow",-1,17.5,-8.65,,farmed_loch,farmed110,2.517550196588447,0.0764563605690138,,h3,0.2891365639503077,0.9428090415820634,1.1972189997378646,1.9585992727230117,-8.0,1.9685019685029528,-8.0,-0.45714285714285713,-0.49428571428571433
farmed111,high,28/03/2021,19:16:11,19:19:20,00:03:09,dir_change,dir change,1,-16.6,,,farmed_loch,farmed111,0.3337741515503315,0.7671061175406984,,h23,0.19649499854534475,1.5055453054181622,1.6406299603099617,,,,,,
farmed112,high,28/03/2021,19:44:04,19:44:35,00:00:31,dir_change,dir change,-1,17.5,-4.15,,farmed_loch,farmed112,2.445881811444465,0.0823476738418579,,h3,0.21773690276676128,0.9428090415820634,1.1972189997378646,1.7958284996067972,-5.0,1.8708286933869707,-5.0,-0.2857142857142857,-0.23714285714285716
farmed113,high,28/03/2021,20:11:26,20:11:33,00:00:07,swim_off,swims off,1,-16.6,-16.6,,farmed_loch,farmed113,0.2349894820034399,0.7521467923192043,,h23,0.10149940396973052,1.5055453054181622,1.6406299603099617,1.5055453054181622,-15.6,1.51657508881031,-15.6,0.9397590361445782,1.0
wild1,high,03/05/2021,13:06:50,13:08:00,00:01:10,swim_off,"swims off, barely stable, first adjust postioins for a while but only now decides in needs to chagne holidng",1,-14.9,14.75,,wild,wild1,2.7472676158609244,0.9002235408676219,,h4,0.3820414969309479,0.9944289260117531,1.0124228365658294,2.071633815776009,13.1,1.0246950765959597,13.1,-0.8791946308724832,-0.9899328859060402
wild3,high,03/05/2021,14:10:24,14:12:14,00:01:50,dir_change,,1,-14.6,6.45,,wild,wild3,0.2012088397030788,0.951501929262926,,h27,0.08461826749588154,0.45946829173634074,3.0226000580809744,3.0041637771599605,6.6,3.5777087639996634,6.6,-0.4520547945205479,-0.44178082191780826
wild5,high,03/05/2021,15:06:28,15:06:43,00:00:15,dir_change,,1,-14.9,-11.85,,wild,wild5,2.7333857915710653,0.514277046729031,,h4,0.35471232715874507,0.9944289260117531,1.0124228365658294,4.069193204227754,-12.9,2.7928480087537886,-12.9,0.8657718120805369,0.7953020134228187
wild6,high,03/05/2021,15:34:40,15:35:43,00:01:03,swim_off,swims off,-1,15.85,-14.25,,wild,wild6,1.7502331545670888,0.9593455034378644,,h7,0.3958344986025807,1.5643600040343086,1.6499158227686108,1.8295415333416791,-13.9,2.3021728866442674,-13.9,-0.8769716088328076,-0.8990536277602524
wild7,high,03/05/2021,16:02:00,16:02:37,00:00:37,dir_change,changes direction but is first sideways accrosss...,1,-18.05,-15.45,,wild,wild7,2.7244198958090586,0.3033823033559303,,h10,0.2673584974035029,0.7619419633774974,2.359378449224852,2.871797733515058,-15.9,2.5592967784139455,-15.9,0.8808864265927978,0.85595567867036
wild8,high,03/05/2021,16:31:20,16:32:21,00:01:01,dir_change,,-1,7.6,-13.85,,wild,wild8,0.8259163561725646,0.9418208590531634,,h26,0.35176982406780666,1.4869805348796974,0.97182531580755,0.5797509043642028,-14.2,0.4472135954999579,-14.2,-1.868421052631579,-1.8223684210526316
wild10,high,03/05/2021,17:25:27,17:27:08,00:01:41,dir_change,,-1,17.5,-6.8,,wild,wild10,2.4091961132004855,0.0433662767557794,,h3,0.18270947959654593,0.9428090415820634,1.1972189997378646,1.3165611772087666,-6.4,1.51657508881031,-6.4,-0.3657142857142857,-0.38857142857142857
wild11,high,03/05/2021,17:54:12,17:54:44,00:00:32,dir_change,changes direction but is first sideways accrosss...,1,-14.9,11.15,,wild,wild11,2.7582052138796125,0.8510717535887997,,h4,0.36753130134176676,0.9944289260117531,1.0124228365658294,2.5609243123008016,12.6,1.51657508881031,12.6,-0.8456375838926175,-0.7483221476510067
wild12,high,04/05/2021,12:01:36,12:02:04,00:00:28,dir_change,,1,-14.9,7.9,,wild,wild12,2.6971912085566863,0.7965248746889119,,h4,0.2898541645284923,0.9944289260117531,1.0124228365658294,4.800462940638584,8.4,4.463742824133129,8.4,-0.5637583892617449,-0.5302013422818792
wild14,high,04/05/2021,12:57:21,12:57:50,00:00:29,swim_off,barely stable but swims off,1,-15.95,10.1,,wild,wild14,0.5065738839577136,0.1979628549975144,,h30,0.16790044955099498,1.0124228365658292,2.514402955419481,5.087020520675907,12.2,2.3874672772626644,12.2,-0.7648902821316614,-0.6332288401253918
wild15,high,04/05/2021,13:24:22,13:25:41,00:01:19,dir_change,,-1,17.5,-7.25,,wild,wild15,2.608989744997549,0.0599878334602497,,h3,0.3806492653683467,0.9428090415820634,1.1972189997378646,1.6541194367732672,-7.9,1.51657508881031,-7.9,-0.45142857142857146,-0.4142857142857143
wild17,high,04/05/2021,14:20:34,14:21:59,00:01:25,dir_change,,-1,17.5,-6.8,,wild,wild17,2.607525494027912,0.0652355921190963,,h3,0.3790794223985788,0.9428090415820634,1.1972189997378646,1.3784048752090223,-7.5,1.224744871391589,-7.5,-0.42857142857142855,-0.38857142857142857
wild18,high,04/05/2021,14:47:54,14:48:58,00:01:04,dir_change,,1,-14.6,5.15,,wild,wild18,0.1124590334442193,0.9192701379804868,,h27,0.04138296555715572,0.45946829173634074,3.0226000580809744,2.1864481598143493,5.5,1.6583123951777,5.5,-0.3767123287671233,-0.3527397260273973
wild19,high,04/05/2021,15:15:58,15:16:12,00:00:14,swim_off,barely stable but swims off,-1,12.4,12.7,,wild,wild19,0.1167663604212178,0.7585184979710503,,h28,0.2716716683789672,2.2085691697969922,1.1785113019775793,4.721110980361391,14.2,3.850324661635691,14.2,1.1451612903225805,1.0241935483870968
wild20,high,04/05/2021,15:45:16,15:45:56,00:00:40,dir_change,,1,-15.15,18.2,,wild,wild20,0.1949504288993046,0.0348668892223164,,h21,0.03880756216772846,0.8181958472422385,1.2516655570345725,4.417138339593985,20.4,2.5099800796022267,20.4,-1.3465346534653464,-1.2013201320132012
wild21,high,04/05/2021,16:12:24,16:16:09,00:03:45,dir_change,,-1,17.5,,,wild,wild21,2.637807929518074,0.0739529456129417,,h3,0.4093447900113364,0.9428090415820634,1.1972189997378646,,,,,,
wild25,high,05/05/2021,12:12:25,12:13:44,00:01:19,dir_change,,-1,17.5,-7.25,,wild,wild25,2.56884031813944,0.0389540110867874,,h3,0.34179916340749605,0.9428090415820634,1.1972189997378646,1.6541194367732672,-7.9,1.51657508881031,-7.9,-0.45142857142857146,-0.4142857142857143
wild26,high,05/05/2021,12:39:14,12:39:33,00:00:19,dir_change,barely stable but changes direction,1,-14.9,-6.0,,wild,wild26,2.742824854420601,0.8333135548737086,,h4,0.3461199793401939,0.9944289260117531,1.0124228365658294,6.654154925892376,-4.1,3.681032463861192,-4.1,0.2751677852348993,0.40268456375838924
wild27,high,05/05/2021,13:05:54,13:07:01,00:01:07,dir_change,dir change,-1,17.25,-13.45,,wild,wild27,0.7509814057950324,0.0602813933672169,,h20,0.18168215683444866,1.2747548783981961,0.9486832980505139,1.3426756040748553,-14.2,0.4472135954999579,-14.2,-0.8231884057971014,-0.7797101449275362
