fishname,fs,fishdate,time_flow,time_react,tdiff,info,info_other,direction,stable10prev,change10,stable10after,fishtype,loc_name,loc_x,loc_y,Unnamed: 3,flocs,fdist,stable10prev_v,stable10next_v,change10_v,change5,change5_v,change1,asfractprev5,asfractprev10,tsec,abs1,abs5,abs10,fsdir
fish58,low,13Mar,15:17:32,-,nan,unstable,,-1,,,,farmed_loch,,,,,,,,,,,,,,,,,,,low-1
fish59,low,13Mar,15:45:57,-,nan,unstable,,1,,,,farmed_loch,,,,,,,,,,,,,,,,,,,low1
fish60,low,13Mar,16:13:24,-,nan,unstable,,-1,,,,farmed_loch,,,,,,,,,,,,,,,,,,,low-1
fish64,low,13Mar,18:07:33,-,nan,unstable,,-1,,,,farmed_loch,,,,,,,,,,,,,,,,,,,low-1
fish66,low,25/03/2021,10:15:39,x,nan,no_reaction,"stable, no change in dir",-1,,,,farmed_loch,,,,,,,,,,,,,,,,,,,low-1
fish67,low,25/03/2021,10:43:41,x,nan,no_reaction,"stable, no change in dir",1,,,,farmed_loch,,,,,,,,,,,,,,,,,,,low1
fish68,low,25/03/2021,11:14:22,x,nan,no_reaction,"stable, no change in dir",-1,,,,farmed_loch,,,,,,,,,,,,,,,,,,,low-1
fish69,low,25/03/2021,11:42:55,x,nan,no_reaction,"stable, no change in dir",1,,,,farmed_loch,,,,,,,,,,,,,,,,,,,low1
fish70,low,25/03/2021,12:10:26,x,nan,unstable,semi-stable,-1,,,,farmed_loch,,,,,,,,,,,,,,,,,,,low-1
fish71,low,25/03/2021,12:37:40,x,nan,unstable,unstable,1,,,,farmed_loch,,,,,,,,,,,,,,,,,,,low1
fish72,low,25/03/2021,13:05:25,x,nan,unstable,unstable,-1,,,,farmed_loch,,,,,,,,,,,,,,,,,,,low-1
fish73,low,25/03/2021,13:32:12,x,nan,unstable,swims off,1,,,,farmed_loch,,,,,,,,,,,,,,,,,,,low1
fish74,low,25/03/2021,14:00:47,x,nan,no_reaction,holding sideways to flow,-1,,,,farmed_loch,,,,,,,,,,,,,,,,,,,low-1
fish75,low,25/03/2021,14:29:47,x,nan,unstable,unstable,1,,,,farmed_loch,,,,,,,,,,,,,,,,,,,low1
fish77,low,25/03/2021,15:24:50,x,nan,no_reaction,"stable, but holding sideways",1,,,,farmed_loch,,,,,,,,,,,,,,,,,,,low1
fish79,low,25/03/2021,16:42:06,x,nan,no_reaction,"not sure, it is being turned around maybe.",1,,,,farmed_loch,,,,,,,,,,,,,,,,,,,low1
fish82,high,27/03/2021,09:36:21,x,nan,unstable,unstable,1,,,,farmed_loch,,,,,,,,,,,,,,,,,,,high1
fish83,high,27/03/2021,10:06:54,x,nan,unstable,unstable,-1,,,,farmed_loch,,,,,,,,,,,,,,,,,,,high-1
fish89,high,27/03/2021,13:01:39,x,nan,unstable,unstable,-1,,,,farmed_loch,,,,,,,,,,,,,,,,,,,high-1
fish96,high,27/03/2021,16:41:00,x,nan,unstable,unstable,1,,,,farmed_loch,,,,,,,,,,,,,,,,,,,high1
farmed97,high,28/03/2021,12:49:18,x,nan,unstable,unstable,1,,,,farmed_loch,,,,,,,,,,,,,,,,,,,high1
farmed104,high,28/03/2021,16:01:43,x,nan,no_reaction,no change,-1,,,,farmed_loch,,,,,,,,,,,,,,,,,,,high-1
farmed105,high,28/03/2021,16:29:55,16:31:26,00:01:31,no_reaction,dir change and swim off,1,,,,farmed_loch,,,,,,,,,,,,,,,91.0,,,,high1
farmed106,high,28/03/2021,16:58:32,x,nan,no_reaction,no change,-1,,,,farmed_loch,,,,,,,,,,,,,,,,,,,high-1
farmed107,high,28/03/2021,17:25:04,x,nan,unstable,unstable,1,,,,farmed_loch,,,,,,,,,,,,,,,,,,,high1
farmed109,high,28/03/2021,18:19:28,x,nan,unstable,unstable,1,,,,farmed_loch,,,,,,,,,,,,,,,,,,,high1
wild2,high,03/05/2021,13:38:41,x, ,unstable,unstable,-1,,,,wild,,,,,,,,,,,,,,,,,,,high-1
wild4,high,03/05/2021,14:38:56,x,nan,no_reaction,no change,-1,,,,wild,,,,,,,,,,,,,,,,,,,high-1
wild9,high,03/05/2021,16:58:10,x,nan,no_reaction,it is first sideways accrosss...,1,,,,wild,,,,,,,,,,,,,,,,,,,high1
wild13,high,04/05/2021,12:30:06,x,nan,no_reaction,no chane,-1,,,,wild,,,,,,,,,,,,,,,,,,,high-1
wild16,high,04/05/2021,13:52:26,x,nan,no_reaction,it is first sideways accrosss...,1,,,,wild,,,,,,,,,,,,,,,,,,,high1
wild22,high,05/05/2021,10:50:23,x,nan,no_reaction,no change,1,,,,wild,,,,,,,,,,,,,,,,,,,high1
wild23,high,05/05/2021,11:18:29,x,nan,no_reaction,no change,-1,,,,wild,,,,,,,,,,,,,,,,,,,high-1
